Title,Abstract,StoreId,AccessionNumber,ArticleType,AuthorAffiliation,Authors,companies,copyright,documentType,entryDate,issn,issue,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,volume,DocumentURL,classification,classificationCodes,documentFeatures,identifierKeywords,majorClassificationCodes,notes,startPage,subjectClassifications,subjectTerms,subjects,FindACopy,Database
Singapore : Wrtsil partners with the Maritime and Port Authority of Singapore to co-develop next-generation safer and greener smart port solutions,,2602855504,,Wire Feeds,,,, © 2021 Al Bawaba (Albawaba.com)  Provided by SyndiGate Media Inc. (Syndigate.info)., News," Nov 26, 2021",,, English, English,, London,"Nov 26, 2021",MENA Report,2021,,https://www.proquest.com/wire-feeds/singapore-wrtsil-partners-with-maritime-port/docview/2602855504/se-2?accountid=27026,,,,,,,,," Innovations , Supply chains , Interoperability , Collaboration , Ports , Traffic congestion , Alliances , Shipping industry , Traffic control , Singapore",,"http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Singapore+%3A+Wrtsil+partners+with+the+Maritime+and+Port+Authority+of+Singapore+to+co-develop+next-generation+safer+and+greener+smart+port+solutions&amp;title=MENA+Report&amp;issn=&amp;date=2021-11-26&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=MENA+Report&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=MENA+Report&amp;spage=&amp;date=2021-11-26&amp;atitle=Singapore+%3A+Wrtsil+partners+with+the+Maritime+and+Port+Authority+of+Singapore+to+co-develop+next-generation+safer+and+greener+smart+port+solutions&amp;au=&amp;id=doi:",ProQuest One Business
Wartsila partners with the Maritime and Port Authority of Singapore to co-develop next-generation safer and greener smart port solutions,,2601142553,,Wire Feeds,,,, Copyright © 2011-2021 pivotalsources.com. All rights reserved. Provided by SyndiGate Media Inc. (Syndigate.info)., News," Nov 23, 2021",,, English, English,, New Delhi,"Nov 23, 2021",Pivotal Sources,2021,,https://www.proquest.com/wire-feeds/wartsila-partners-with-maritime-port-authority/docview/2601142553/se-2?accountid=27026,,,,,,,,," Interoperability , Collaboration , Traffic congestion , Ports , Singapore",,"http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Wartsila+partners+with+the+Maritime+and+Port+Authority+of+Singapore+to+co-develop+next-generation+safer+and+greener+smart+port+solutions&amp;title=Pivotal+Sources&amp;issn=&amp;date=2021-11-23&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=Pivotal+Sources&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=Pivotal+Sources&amp;spage=&amp;date=2021-11-23&amp;atitle=Wartsila+partners+with+the+Maritime+and+Port+Authority+of+Singapore+to+co-develop+next-generation+safer+and+greener+smart+port+solutions&amp;au=&amp;id=doi:",ProQuest One Business
"SECTOR WEEKLY: ENERGY (USA) NEWSLETTER OF WEEK-ENDED NOV 07, 2021",,2594305039,,Wire Feeds,,," Organization of Petroleum Exporting Countries--OPEC , Euronav"," Copyright News Bites Pty Ltd Nov 8, 2021", News," Nov 8, 2021",,, English, English,, Melbourne,"Nov 8, 2021",News Bites - Private Companies,2021,,https://www.proquest.com/wire-feeds/sector-weekly-energy-usa-newsletter-week-ended/docview/2594305039/se-2?accountid=27026," 54171 Research and Development in the Physical, Engineering, and Life Sciences , 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing"," 54171 Research and Development in the Physical, Engineering, and Life Sciences , 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing",,," 54171 Research and Development in the Physical, Engineering, and Life Sciences , 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing",,," 54171 Research and Development in the Physical, Engineering, and Life Sciences , 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing"," Canals , Economic growth , Shipbuilding , Climate change , Industrial plant emissions , Litigation , Charters , Energy industry , Maritime industry , Research ships , Consortia , Websites , Liquefied natural gas , Ports , Cayman Islands , United Kingdom--UK , Suez Canal , Australia , Virginia , United States--US , Singapore , California",,"http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=SECTOR+WEEKLY%3A+ENERGY+%28USA%29+NEWSLETTER+OF+WEEK-ENDED+NOV+07%2C+2021&amp;title=News+Bites+-+Private+Companies&amp;issn=&amp;date=2021-11-08&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=News+Bites+-+Private+Companies&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=News+Bites+-+Private+Companies&amp;spage=&amp;date=2021-11-08&amp;atitle=SECTOR+WEEKLY%3A+ENERGY+%28USA%29+NEWSLETTER+OF+WEEK-ENDED+NOV+07%2C+2021&amp;au=&amp;id=doi:",ProQuest One Business
Clipper Oil Co.: Singapore's MPA Seeks to Minimise X-Press Pearl Sinking Environmental Impact,,2536651649,,Wire Feeds,,, Clipper Oil Co," Copyright News Bites Pty Ltd Jun 4, 2021", News," Jun 4, 2021",,, English, English,, Melbourne,"Jun 4, 2021",News Bites - Private Companies,2021,,https://www.proquest.com/wire-feeds/clipper-oil-co-singapores-mpa-seeks-minimise-x/docview/2536651649/se-2?accountid=27026," 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing"," 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing",," FINANCIALS , Company Activities , Company Summary , BUSINESS NEWS ROUND UP"," 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing",,," 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing"," Stainless steel , Ships , Energy , Research & development--R&D , Asset management , Websites , Liquefied natural gas , Ports , Green hydrogen , Joint ventures , United States--US"," FINANCIALS , Company Activities , Company Summary , BUSINESS NEWS ROUND UP","http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Clipper+Oil+Co.%3A+Singapore%27s+MPA+Seeks+to+Minimise+X-Press+Pearl+Sinking+Environmental+Impact&amp;title=News+Bites+-+Private+Companies&amp;issn=&amp;date=2021-06-04&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=News+Bites+-+Private+Companies&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=News+Bites+-+Private+Companies&amp;spage=&amp;date=2021-06-04&amp;atitle=Clipper+Oil+Co.%3A+Singapore%27s+MPA+Seeks+to+Minimise+X-Press+Pearl+Sinking+Environmental+Impact&amp;au=&amp;id=doi:",ProQuest One Business
Clipper Oil Co.: Singapore Court Approves $3.5 Billion Asset Freeze for Hin Leong Founder,,2531830445,,Wire Feeds,,, Clipper Oil Co," Copyright News Bites Pty Ltd May 26, 2021", News," May 26, 2021",,, English, English,, Melbourne,"May 26, 2021",News Bites - Private Companies,2021,,https://www.proquest.com/wire-feeds/clipper-oil-co-singapore-court-approves-3-5/docview/2531830445/se-2?accountid=27026," 92111 Executive Offices , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing"," 92111 Executive Offices , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing",," FINANCIALS , Company Activities , Company Summary , BUSINESS NEWS ROUND UP , TOP MANAGEMENT"," 92111 Executive Offices , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing",,," 92111 Executive Offices , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing"," Ships , Presidents , Stainless steel , Energy , Research & development--R&D , Corporate profits , Asset management , Websites , Liquefied natural gas , Ports , Green hydrogen , Joint ventures , United States--US"," FINANCIALS , Company Activities , Company Summary , BUSINESS NEWS ROUND UP , TOP MANAGEMENT","http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Clipper+Oil+Co.%3A+Singapore+Court+Approves+%243.5+Billion+Asset+Freeze+for+Hin+Leong+Founder&amp;title=News+Bites+-+Private+Companies&amp;issn=&amp;date=2021-05-26&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=News+Bites+-+Private+Companies&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=News+Bites+-+Private+Companies&amp;spage=&amp;date=2021-05-26&amp;atitle=Clipper+Oil+Co.%3A+Singapore+Court+Approves+%243.5+Billion+Asset+Freeze+for+Hin+Leong+Founder&amp;au=&amp;id=doi:",ProQuest One Business
Singapore : Port of Singapore Receives Accolade for Green Port,,2487254451,,Wire Feeds,,," Port of Singapore , Asia-Pacific Economic Cooperation", © 2021 Al Bawaba (Albawaba.com)  Provided by SyndiGate Media Inc. (Syndigate.info)., News," Feb 8, 2021",,, English, English,, London,"Feb 8, 2021",MENA Report,2021,,https://www.proquest.com/wire-feeds/singapore-port-receives-accolade-green/docview/2487254451/se-2?accountid=27026,,,,,,,,," Research & development--R&D , Ports , Singapore",,"http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Singapore+%3A+Port+of+Singapore+Receives+Accolade+for+Green+Port&amp;title=MENA+Report&amp;issn=&amp;date=2021-02-08&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=MENA+Report&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=MENA+Report&amp;spage=&amp;date=2021-02-08&amp;atitle=Singapore+%3A+Port+of+Singapore+Receives+Accolade+for+Green+Port&amp;au=&amp;id=doi:",ProQuest One Business
Singapore: Port of Singapore Receives Accolade for Green Port,,2485575879,,Newspapers,,," Port of Singapore , Asia-Pacific Economic Cooperation"," Copyright Thai News Service Group Feb 4, 2021", News," Feb 4, 2021",,, English, English,, Bangkok,"Feb 4, 2021",Asia News Monitor,2021,,https://www.proquest.com/newspapers/singapore-port-receives-accolade-green/docview/2485575879/se-2?accountid=27026,,,,,,,,," Research & development--R&D , Ports , Singapore",,"http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Singapore%3A+Port+of+Singapore+Receives+Accolade+for+Green+Port&amp;title=Asia+News+Monitor&amp;issn=&amp;date=2021-02-04&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=Asia+News+Monitor&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=Asia+News+Monitor&amp;spage=&amp;date=2021-02-04&amp;atitle=Singapore%3A+Port+of+Singapore+Receives+Accolade+for+Green+Port&amp;au=&amp;id=doi:",ProQuest One Business
ABS Joint Study on Potential for Ammonia as Marine Fuel,,2500502570,,Trade Journals,,Anonymous," Maritime Energy , Port of Singapore", Copyright Simmons-Boardman Publishing Corporation Feb 2021, News, Feb 2021,0897-0491,2, English, English, 35, New York,Feb 2021,Marine Log,2021,126,https://www.proquest.com/trade-journals/abs-joint-study-on-potential-ammonia-as-marine/docview/2500502570/se-2?accountid=27026," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations"," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations",,," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations",, 35," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations"," Ammonia , Maritime industry , Sustainable development , Ammonia , Supply chains , Ports , Singapore",,"http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=ABS+Joint+Study+on+Potential+for+Ammonia+as+Marine+Fuel&amp;title=Marine+Log&amp;issn=08970491&amp;date=2021-02-01&amp;volume=126&amp;issue=2&amp;spage=35&amp;au=Anonymous&amp;isbn=&amp;jtitle=Marine+Log&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=08970491&amp;volume=126&amp;issue=2&amp;title=Marine+Log&amp;spage=35&amp;date=2021-02-01&amp;atitle=ABS+Joint+Study+on+Potential+for+Ammonia+as+Marine+Fuel&amp;au=Anonymous&amp;id=doi:",ProQuest One Business
Singapore: Collaboration and Digitalisation Highlighted for Singapore's Maritime Safety Efforts at MPA's International Safety@Sea Event,,2465805916,,Newspapers,,, International Maritime Organization," Copyright Thai News Service Group Dec 2, 2020", Speech/Lecture," Dec 2, 2020",,, English, English,, Bangkok,"Dec 2, 2020",Asia News Monitor,2020,,https://www.proquest.com/newspapers/singapore-collaboration-digitalisation/docview/2465805916/se-2?accountid=27026," 48831 Port and Harbor Operations , 33911 Medical Equipment and Supplies Manufacturing , 54111 Offices of Lawyers , 48311 Deep Sea, Coastal, and Great Lakes Water Transportation"," 48831 Port and Harbor Operations , 33911 Medical Equipment and Supplies Manufacturing , 54111 Offices of Lawyers , 48311 Deep Sea, Coastal, and Great Lakes Water Transportation",,," 48831 Port and Harbor Operations , 33911 Medical Equipment and Supplies Manufacturing , 54111 Offices of Lawyers , 48311 Deep Sea, Coastal, and Great Lakes Water Transportation",,," 48831 Port and Harbor Operations , 33911 Medical Equipment and Supplies Manufacturing , 54111 Offices of Lawyers , 48311 Deep Sea, Coastal, and Great Lakes Water Transportation"," Best practice , Collaboration , Maritime industry , International , Protocol , Attorneys , Guidebooks , Pandemics , Quarantine , Mental health , Medical supplies , Spatial data , Coronaviruses , Shipping industry , COVID-19 , Sustainable development , Safety standards , Ports , Ship accidents & safety , Singapore",,"http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Singapore%3A+Collaboration+and+Digitalisation+Highlighted+for+Singapore%27s+Maritime+Safety+Efforts+at+MPA%27s+International+Safety%40Sea+Event&amp;title=Asia+News+Monitor&amp;issn=&amp;date=2020-12-02&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=Asia+News+Monitor&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=Asia+News+Monitor&amp;spage=&amp;date=2020-12-02&amp;atitle=Singapore%3A+Collaboration+and+Digitalisation+Highlighted+for+Singapore%27s+Maritime+Safety+Efforts+at+MPA%27s+International+Safety%40Sea+Event&amp;au=&amp;id=doi:",ProQuest One Business
Clipper Oil Co. : Singapore Reports 'High Degree' of Compliance with IMO 2020,"According to Banchero Costa, ""in the first 3 months of 2020, the European Union countries (still including the UK for annual comparison sake) imported 121.8 mln tonnes of crude oil by sea, according to vessel tracking data from Refinitiv. Clipper Oil Co.: Shipping's sustainable future will be fuelled by R&amp;D, innovation and collaboration Daikin supports efforts of the global shipping industry to promote sustainability, improve energy efficiency and tackle climate change. Clipper Oil Co.: Callan Marine Wins $98 Million Dredging Contract to Deepen Corpus Christi Ship Channel The U.S. Army Corps of Engineers has awarded a nearly $98 million dredging contract to Texas-based Callan Marine for the second phase of the Corpus Christi Ship Channel deepening and widening project. The work will improve energy product transportation throughout at the Port of Corpus Christi by allowing larger vessels more efficient access, which will boost the economic competitive advantage and energy security of the United States for decades to come,"" said Colonel Timothy Vail, USACE Galveston District Commander.",2395256512,,Wire Feeds,,, Clipper Oil Co," Copyright News Bites Pty Ltd Apr 29, 2020", News," Apr 29, 2020",,, English, English,, Melbourne,"Apr 29, 2020",News Bites - Private Companies,2020,,https://www.proquest.com/wire-feeds/clipper-oil-co-singapore-reports-high-degree/docview/2395256512/se-2?accountid=27026," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 48321 Inland Water Transportation"," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 48321 Inland Water Transportation",," Company Activities , Company Summary , BUSINESS NEWS ROUND UP , TOP MANAGEMENT"," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 48321 Inland Water Transportation",,," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 48321 Inland Water Transportation"," Collaboration , Ships , Salvage , Emissions , Sulfur , Coronaviruses , Climate change , Industrial plant emissions , Crude oil , COVID-19 , Shipping industry , Supply chains , Ports , United States--US"," Company Activities , Company Summary , BUSINESS NEWS ROUND UP , TOP MANAGEMENT","http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Clipper+Oil+Co.+%3A+Singapore+Reports+%27High+Degree%27+of+Compliance+with+IMO+2020&amp;title=News+Bites+-+Private+Companies&amp;issn=&amp;date=2020-04-29&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=News+Bites+-+Private+Companies&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=News+Bites+-+Private+Companies&amp;spage=&amp;date=2020-04-29&amp;atitle=Clipper+Oil+Co.+%3A+Singapore+Reports+%27High+Degree%27+of+Compliance+with+IMO+2020&amp;au=&amp;id=doi:",ProQuest One Business
CMA CGM extracts presidential support for green fuel drive,"On stage at the French Maritime Economy Conference in Montpellier Tuesday, the carrier’s chairman and CEO Rodolphe Saadé used the occasion to invite Macron to initiate the coalition with the priority on developing a more competitive and less carbon-intensive energy source. After securing the high-level political support, Saadé announced a 10-year deal with French oil major Total for the supply of 297,000 tons of liquefied natural gas (LNG) bunker fuel annually at its Marseille-Fos hub in the Mediterranean. The aim is to expand Marseille-Fos as an LNG bunkering hub for shipping, reinforcing its attractiveness by offering LNG bunkering solutions for the supply of ultra-large container vessels, and following the examples of major Northern European ports.",2321338618,,Newspapers,,"Knowler, Greg"," CMA CGM , International Maritime Organization"," Copyright IHS Maritime & Trade Dec 4, 2019", News," Dec 4, 2019",,, English, English,, New York,"Dec 4, 2019",Journal of Commerce,2019,,https://www.proquest.com/newspapers/cma-cgm-extracts-presidential-support-green-fuel/docview/2321338618/se-2?accountid=27026," 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing"," 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing",,," 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing",, n/a," 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing"," Fuels , Ships , Liquefied natural gas , Carbon , Bunkering , Climate change , Shipping , Bunkers (fuel) , Alliances , Liquefied natural gas , Ports , Arctic region , Singapore , China , Macron, Emmanuel , Asia , Europe",,"http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=CMA+CGM+extracts+presidential+support+for+green+fuel+drive&amp;title=Journal+of+Commerce&amp;issn=&amp;date=2019-12-04&amp;volume=&amp;issue=&amp;spage=&amp;au=Knowler%2C+Greg&amp;isbn=&amp;jtitle=Journal+of+Commerce&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=Journal+of+Commerce&amp;spage=&amp;date=2019-12-04&amp;atitle=CMA+CGM+extracts+presidential+support+for+green+fuel+drive&amp;au=Knowler%2C+Greg&amp;id=doi:",ProQuest One Business
Singapore: Singapore Readies Ship Owners and Operators for 2020 &amp; Beyond,,2313175186,,Newspapers,,,," Copyright Thai News Service Group Nov 11, 2019", News," Nov 11, 2019",,, English, English,, Bangkok,"Nov 11, 2019",Asia News Monitor,2019,,https://www.proquest.com/newspapers/singapore-readies-ship-owners-operators-2020-amp/docview/2313175186/se-2?accountid=27026," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing"," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing",,," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing",,," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing"," Emissions , Initiatives , Efficiency , Professionals , Careers , Maritime industry , Sustainable development , Employment , Liquefied natural gas , Ports , Singapore",,"http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Singapore%3A+Singapore+Readies+Ship+Owners+and+Operators+for+2020+%26amp%3B+Beyond&amp;title=Asia+News+Monitor&amp;issn=&amp;date=2019-11-11&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=Asia+News+Monitor&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=Asia+News+Monitor&amp;spage=&amp;date=2019-11-11&amp;atitle=Singapore%3A+Singapore+Readies+Ship+Owners+and+Operators+for+2020+%26amp%3B+Beyond&amp;au=&amp;id=doi:",ProQuest One Business
Singapore : Singapore Readies Ship Owners and Operators for 2020 &amp; Beyond,,2313077395,,Wire Feeds,,,, © 2019 Al Bawaba (Albawaba.com)  Provided by SyndiGate Media Inc. (Syndigate.info)., News," Nov 9, 2019",,, English, English,, London,"Nov 9, 2019",MENA Report,2019,,https://www.proquest.com/wire-feeds/singapore-readies-ship-owners-operators-2020-amp/docview/2313077395/se-2?accountid=27026," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing"," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing",,," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing",,," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing"," Emissions , Initiatives , Efficiency , Professionals , Maritime industry , Sustainable development , Liquefied natural gas , Employment , Ports , Singapore",,"http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Singapore+%3A+Singapore+Readies+Ship+Owners+and+Operators+for+2020+%26amp%3B+Beyond&amp;title=MENA+Report&amp;issn=&amp;date=2019-11-09&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=MENA+Report&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=MENA+Report&amp;spage=&amp;date=2019-11-09&amp;atitle=Singapore+%3A+Singapore+Readies+Ship+Owners+and+Operators+for+2020+%26amp%3B+Beyond&amp;au=&amp;id=doi:",ProQuest One Business
